Accession Number,Collector Number,Genus,Species,Habitat,Determined By,UUID
A89894,PTM573,Bryopsis,plumosa,"Low intertidal, on vertical wall, exposed point",Patrick T. Martone,CC043A9A-AA10-2541-B1F3-09C9596AC0F5
A89895,PTM574,Lessoniopsis,littoralis,"Low intertidal, exposed point",Sam M. Starko,F3BF1B50-8E74-A545-87B1-DFAB3A866C28
A89896,PTM575,Mazzaella,linearis,"Low intertidal, exposed point",Patrick T. Martone,2414750A-1052-9F4E-8E64-3FB6C2BFA904
A89897,PTM576,Neoptilota,hypnoides,"Low intertidal, exposed point",Patrick T. Martone,BFE7EFB6-42C3-9440-9ABA-EE3BCA98CF5A
A89898,PTM577,Scytosiphon,lomentaria,"Low intertidal, on rock surrounded by sand","Sam M. Starko, Katy R. Hind",4C24E187-CB7A-084D-B40A-E6F87D8A1ACE
A89899,PTM578,Neorhodomela,aculeata,Drift ,Sandra C. Lindstrom,81A64AF0-3B52-1049-A2C1-8B119FDBB962
A89900,PTM579,Pterosiphonia,bipinnata,"High intertidal, exposed point",Sandra C. Lindstrom,F44AF8EC-7E5B-2541-85FB-74AA3499966A
A89901,PTM580,Desmarestia,aculeata,"Low intertidal, in sand",Sandra C. Lindstrom,6FB31128-3E1C-0B4B-B179-444B262DEA55
A89902,PTM581,Griffithsia,pacifica,Subtidal ,Sandra C. Lindstrom,9C2E287D-D680-9E45-93D9-681534529EAB
A89903,PTM582,Pleonosporium,vancouverianum,Subtidal ,Sandra C. Lindstrom,8ED7FA67-5E6F-6043-A780-5E6ECBFF2CE9
A89904,PTM583,Hymenena,sp.,Subtidal ,Sandra C. Lindstrom,34209660-1856-3D43-A832-B868FB9473D3
A89905,PTM584,Herposiphonia,plumula,Subtidal ,Sandra C. Lindstrom,BCE7C8E8-3388-B54B-B2B6-1D53B382B648
A89906,PTM585,Erythrophyllum,delesserioides,"Subtidal, exposed point",Patrick T. Martone,7ADEBCB4-77A3-1241-9735-DDE2F49C7A97
A89907,PTM586,Chondracanthus,corymbiferus,"Subtidal, exposed point",Patrick T. Martone,AD78E420-08FC-D24D-ACB9-37E65D65C50F
A89908,PTM587,Callophyllis,pinnata,"Subtidal, exposed point",Sandra C. Lindstrom,FEE40452-484A-7945-8A25-F546CF1738AC
A89909,PTM588,Callophyllis,pinnata,"Subtidal, exposed point",Sandra C. Lindstrom,5AC44967-377D-0048-AD6A-E9E3F09E9760
A89910,PTM589,Rhodymenia,pacifica,"Subtidal, exposed point",Patrick T. Martone,ABCC0943-001B-C444-8ED4-524106FE6938
A89911,PTM590,Mazzaella,sp.,"Subtidal, exposed point",Sandra C. Lindstrom,046D5DE9-994A-E04C-9E59-D1FC95A1C1A1
A89912,PTM591,Rhodymenia,pacifica,"Subtidal, exposed point",Patrick T. Martone,D1960CF1-BE7D-6F4E-BED8-42C654AA1F70
A89913,PTM592,Pyropia,gardneri,"Subtidal, exposed point",Sandra C. Lindstrom,585204C2-00D5-5448-9E26-4EC041224380
A89915,PTM594,Mazzaella,sanguinea,"Subtidal, exposed point",Sandra C. Lindstrom,4A9D2C98-85A1-A743-B38E-041FB49E0239
A89917,PTM596,Callophyllis,sp.,"Subtidal, exposed point",Sandra C. Lindstrom,3CCEE366-AFA9-D44E-82C7-1D565206ECB0
A89918,PTM597,Prionitis,sternbergii,"Subtidal, exposed point",Sandra C. Lindstrom,BD8F7FFE-77E4-694B-BCB8-537BCC75EE83
A89919,PTM598,Mazzaella,linearis,"Subtidal, exposed point",Sandra C. Lindstrom,38B3F52C-7102-3349-B67F-652FECD32733
A89924,PTM603,Neodilsea,borealis,Subtidal ,Sandra C. Lindstrom,C31B6778-DE04-9C4D-A6E6-86B0144C0D59
A89925,PTM604,Weeksia,coccinea,Subtidal ,Sandra C. Lindstrom,3D7556AE-BB32-3A49-AF04-F6B20365000E
A89926,PTM605,Opuntiella,californica,Subtidal ,Sandra C. Lindstrom,902B400A-A534-184D-937F-EE74EF736974
A89927,PTM606,Pterothamnion,villosum,Subtidal ,Sandra C. Lindstrom,6B535B08-1ACB-754D-9B46-7CD484F1333A
A89928,PTM607,Pugetia,fragilissima,Subtidal ,Sandra C. Lindstrom,ED005D6B-30D6-1A44-9542-8A8181EBBE06
A89929,PTM608,Pterothamnion,heteromorphum,Subtidal ,Sandra C. Lindstrom,4068B740-5B51-0540-9511-92EF4E96200B
A89930,PTM609,Pleonosporium,vancouverianum,Subtidal ,Sandra C. Lindstrom,8E1A32BA-9299-064B-BBF7-D0C16C663E15
A89931,PTM610,Scagelia,occidentalis,Subtidal ,Sandra C. Lindstrom,B72222BF-CAA3-114C-8AD6-BD1C80226E4D
A89933,PTM612,Gelidium,purpurascens,Subtidal ,Sandra C. Lindstrom,EA9D625F-5920-A543-95A7-FB57089E9657
A89934,PTM613,Haplogloia,andersonii,Subtidal ,Sandra C. Lindstrom,A8A1FE6B-AFA2-FE4A-A262-5570B686BF1A
A89935,PTM614,Neodilsea,borealis,"Subtidal, in sand",Sandra C. Lindstrom,6BF6149E-C154-9F4F-BCAC-A7E111E11FD8
A89936,PTM615,Cladophora,sericea,"Subtidal, drift",Sandra C. Lindstrom,885A946A-C131-034E-8880-CE56B2051CFB
A89937,PTM616,Ptilota,tenuis,Subtidal ,Sandra C. Lindstrom,FC5A253A-67A4-3844-89B4-2DC80B950AAF
A89938,PTM617,Polysiphonia,pacifica,Subtidal ,Sandra C. Lindstrom,4F387C0A-C09D-CD40-BA9D-4AD5696ACF3B
A89996,PTM664,Sarcodeotheca,sp.,Subtidal ,Katy R. Hind,D3F41906-EB68-A24B-B50B-54D4294365EE
A88710,PTM185,Mastocarpus,rigidus,Lower mid intertidal,Patrick T. Martone,B0B2A947-D703-BB49-980C-C50279E486B1
A91432,PTM665,Spongites,tumidum,"Mid intertidal, with Hildenbrandia",Katharine R. Hind,BF3E382D-9D3E-3E47-9124-0B144FA95B33
A91433,PTM666,Spongites,tumidum,Mid intertidal,Katharine R. Hind,97A57EDF-56E7-D84C-9A02-4DA03B8E34E6
A91434,PTM667,Spongites,tumidum,Mid intertidal,Katharine R. Hind,C738EE2D-730D-7C49-9A13-1906521DB204
A91435,PTM668,Spongites,decipens,Mid intertidal,Katharine R. Hind,81E93DD7-5E6A-134D-911D-37DAE904C6AB
A91436,PTM670,Lithothamnion,phymatodeum,Mid/low-intertidal ,Katharine R. Hind,E42259C6-48BF-954D-ABDC-30347F639480
A91437,PTM672,Lithothamnion,phymatodeum,"Low intertidal, surge channel",Katharine R. Hind,82069A0B-5F2F-F745-967D-151A6A5D1D79
A91438,PTM674,Lithophyllum,sp.,Low intertidal,Katharine R. Hind,0C346651-447A-AE4F-A8D6-1B3E5DAA01ED
A91439,PTM675,Lithothamnion,phymatodeum,Low intertidal,Katharine R. Hind,0558EDAE-5411-9840-87A1-A6A7E39BC2F0
A91440,PTM676,Melobesia,sp.,Low intertidal,Katharine R. Hind,B116C1E6-5ED6-4D40-8258-E9676E52A910
A91441,PTM677,Melobesia,sp.,Low intertidal,Katharine R. Hind,309B9287-AD85-BF4F-97F0-B381C763BA75
A91442,PTM679,Leptophytum,lamellicola,"Low intertidal, exposed",Katharine R. Hind,ED7D1C64-1F46-504A-B8D6-80E0214EDA0F
A91443,PTM680,Leptophytum,lamellicola,"Low intertidal, in tidepool",Katharine R. Hind,24D52B79-21DF-C246-A3A3-82023301A433
A91444,PTM681,Pseudolithophyllum,sp.,"Low intertidal, in tidepool",Katharine R. Hind,40AECBF3-C0EE-1C47-AF16-37BEE51F6CF4
A91445,PTM685,Lithophyllum,sp.,"Low intertidal, surge channel",Katharine R. Hind,5F84D295-7BC9-9C4A-9A8F-91EDB8C2F061
A91446,PTM689,Spongites,tumidum,High intertidal,Katharine R. Hind,CC7D5C08-4B2A-CF44-9F06-A04AB29C70A5
A91447,PTM690,Spongites,tumidum,Mid/low-intertidal ,Katharine R. Hind,AE338492-A699-5A4B-9A0C-0D5CF8E23038
A91448,PTM691,Coralline,NA, ,Kyra G. Janot,E77059E8-E588-1E4D-9F04-44906F711C70
A91449,PTM692,Coralline,NA, ,Kyra G. Janot,E135B5B4-BB25-A24C-9685-7291BE9A8228
A91450,PTM693,Neogoniolithon,sp., ,Kyra G. Janot,86066261-1DF4-5B46-BB07-C1E89E7BF6B4
A91451,PTM694,Lithophyllum,sp., ,Kyra G. Janot,46200753-396D-744B-B635-C0D9D85A18D8
A91452,PTM695,Lithophyllum,sp., ,Kyra G. Janot,8CFB73E5-0F60-2B46-8170-6F94D43005A7
A91453,PTM696,Neogoniolithon,sp., ,Kyra G. Janot,DD5741B0-28DC-794C-B98D-C4D1CA5A3004
A91454,PTM697,Coralline,NA, ,Kyra G. Janot,2E7F0E9C-2A8E-FE46-8115-F8A655919FE6
A91455,PTM698,Coralline,NA, ,Kyra G. Janot,795ADA25-04C9-0E46-A5C5-179FA665DAB5
A91456,PTM699,Coralline,NA, ,Kyra G. Janot,80BA2AF3-8807-DF4B-B32E-B3B289095C3C
A91457,PTM700,Coralline,NA, ,Kyra G. Janot,0BCE89BD-F631-1E43-8C63-F9DE2C273713
A91458,PTM701,Lithophyllum,sp., ,Kyra G. Janot,BD1BD0F5-D8B3-3C40-BC30-F39215E40759
A91459,PTM702,Coralline,NA, ,Kyra G. Janot,C0864E98-2526-6D46-9CB0-3F6B70EEE8D6
A91460,PTM703,Metamastophora,sp., ,Kyra G. Janot,5EA500E0-CE95-7E40-811A-2F09FB3618AF
A91461,PTM704,Haliptilon,sp., ,Kyra G. Janot,5366EE37-3871-1C48-96A0-CE827421229A
A91462,PTM705,Coralline,NA, ,Kyra G. Janot,A9C2CC49-D05B-6E4C-8DA2-2604057E87BE
A91463,PTM706,Coralline,NA, ,Kyra G. Janot,B88D4452-C549-0841-A069-2B77F9154F61
A91464,PTM709,Metagoniolithon,chara,"Subtidal, epiphytic",Kyra G. Janot,73EC2C78-B780-DB40-91F8-7A6C743D1AFE
A91465,PTM710,Metagoniolithon,sp.,"Subtidal, epiphytic",Kyra G. Janot,606842E3-98C3-0242-84DF-206B62BF97AF
A91466,PTM711,Metagoniolithon,chara,"Subtidal, epiphytic",Kyra G. Janot,37438083-5F1A-F140-B142-7354D73E68AD
A91467,PTM712,Metagoniolithon,chara,"Subtidal, epiphytic",Kyra G. Janot,0F2EF5D0-2ECE-5A46-8CC1-B97ACEC9E218
A92528,PTM713,Metagoniolithon,chara,"Subtidal, epiphytic",Kyra G. Janot,97A75DDB-C36A-4F49-9ADA-CDF1EB3F3278
A91468,PTM714,Corallina,vancouveriensis,High intertidal,Katharine R. Hind,45A598E7-8D5E-5644-9776-85BD3AA38C2D
A91469,PTM715,Corallina,vancouveriensis,Low intertidal,Katharine R. Hind,0C4DC467-4C52-8144-91C6-AEEBED4A1F77
A91470,PTM717,Lithothamnion,phymatodeum,Low intertidal,Katharine R. Hind,A9E91A11-B168-744A-951A-DBF3A519CAF2
A91471,PTM718,Lithophyllum,sp.,Low intertidal; Growing over coralline crust,Katharine R. Hind,2F6318BE-CB74-804A-B1D6-D95FC9806100
A91472,PTM720,Coralline,NA,Low intertidal; Under Phyllospadix,Katharine R. Hind,297653DC-6EAF-EC40-B30F-11B158769618
A90725,PTM721,Bossiella,frondescens,"High intertidal, pool",Katharine R. Hind,56F0E6A7-68EF-0842-8F63-2D9125CEBCE7
A91474,PTM722,Leptophytum,lamellicola,Low intertidal,Katharine R. Hind,735DE117-3843-C747-9580-DED23C593E5B
A91475,PTM723,Lithothamnion,phymatodeum,Low intertidal,Katharine R. Hind,0B4F1D8A-7C8E-2A4E-82C6-E36AFA95053B
A91476,PTM724,Lithothamnion,phymatodeum,"Low intertidal, surge channel",Katharine R. Hind,E25A0763-36FF-104B-B6AE-64E6BE2C4760
A91477,PTM726,Corallina,sp.,"Low intertidal, tidepool",Katharine R. Hind,FCB8079A-B7E9-8A46-9EA5-C9EAE50CD122
A91478,PTM727,Lithophyllum,sp.,Mid/low intertidal; with Saccharina sessilis,Katharine R. Hind,17C4F99D-1313-3040-A8AD-172B78763A17
A90726,PTM728,Bossiella,frondifera,Low intertidal,Katharine R. Hind,48A81C2A-DD6A-D24D-B170-5FDEC6159488
A91480,PTM729,Melobesia,sp.,Low intertidal,Katharine R. Hind,F4EB6DB6-7CD7-3F40-8181-4BD054CA725D
A91481,PTM730,Corallina,vancouveriensis,Low intertidal,Katharine R. Hind,039AAE2B-4EAD-BC47-A079-E14AE339FD84
A91482,PTM731,Melobesia,sp.,Low intertidal,Katharine R. Hind,694ED90C-D9E3-374C-A6EB-413B291A565F
A91483,PTM732,Coralline,NA,"Mid/low intertidal, with a sponge and Saccharina sessilis",Katharine R. Hind,CEF097DB-7D07-5945-9C98-C631E98BCF95
A91484,PTM733,Coralline,NA,"Low intertidal, in tidepool",Katharine R. Hind,CC8C46A0-86AD-E24C-99F4-EC962E3B5F37
A90727,PTM734,Bossiella,frondifera,Low intertidal,Katharine R. Hind,569D9DA0-4650-414B-91BC-36F2E1DFA2F3
A91485,PTM735,Coralline,NA,Low intertidal,Katharine R. Hind,0829BD0E-F7BA-8444-9EA0-5C34814EAB93
A90728,PTM736,Bossiella,frondifera,Low intertidal,Katharine R. Hind,73B71D73-7D05-1648-9C20-F7B19989906B
A91486,PTM737,Lithothamnion,phymatodeum,Subtidal ,Katharine R. Hind,63AF7CFC-EAC0-9145-81F7-BB7881580B20
A91487,PTM738,Corallina,sp.,Subtidal ,Katharine R. Hind,4A8FFFB5-5D46-1547-9DB4-2C0C23E02DEB
A91488,PTM739,Coralline,NA,Subtidal ,Katharine R. Hind,E2F54F82-3DA0-AD4C-AF72-0E4DFFD2DB61
A91489,PTM740,Corallina,sp.,Subtidal ,Katharine R. Hind,9892A397-14F8-6F43-9B3D-6AC23283632F
A91490,PTM741,Lithothamnion,glaciale,Subtidal ,Katharine R. Hind,B70611F8-7126-B840-98F7-E1E7D088FF89
A91491,PTM742,Corallina,sp.,Subtidal ,Katharine R. Hind,DC2F32B9-4042-FC40-AA5B-61D375DBFF66
A91492,PTM743,Corallina,sp.,Subtidal ,Katharine R. Hind,ACD416C8-A426-3A41-B984-ECED1FE12E68
A91493,PTM744,Coralline,NA,Subtidal ,Katharine R. Hind,3F620240-C56B-DF4C-939D-9DBB35FFC8A2
A91494,PTM745,Lithophyllum,sp.,Subtidal ,Katharine R. Hind,201F8B8B-3A4D-514E-8E67-8D61E1378ABF
A91495,PTM746,Coralline,NA,Subtidal ,Katharine R. Hind,4201B032-18AC-5947-8326-176A1BD526CB
A90729,PTM747,Bossiella,frondescens,Mid intertidal,Katharine R. Hind,08F249FB-ABFD-7F47-893B-10894F35191C
A90730,PTM748,Bossiella,frondescens,Mid intertidal,Katharine R. Hind,E85E4236-0B5F-D344-B1AB-3E0DB3D222C8
A91496,PTM749,Coralline,NA,"Low intertidal, surge channel",Katharine R. Hind,64BC748D-67AB-A948-AA69-18C00894912D
A91497,PTM750,Coralline,NA,"Low intertidal, surge channel",Katharine R. Hind,4752A787-7DC7-4140-9615-42BBA67346A2
A91498,PTM751,Hildenbrandia,sp.,High intertidal,Katharine R. Hind,3A43EFB4-2728-7C47-886A-91DAEEC1052F
A91499,PTM752,Spongites,tumidum,"Low intertidal, in tidepool",Katharine R. Hind,463C94A3-585E-B245-911E-9C689509716C
A91500,PTM753,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,537EDD9A-B9E7-7D4C-870A-45BFB354FB81
A91501,PTM754,Bossiella,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,956CBA5B-3995-5F4A-BC39-0FBB721119AA
A91502,PTM756,Calliarthron,tuberculosum,"Mid/low intertidal, in tidepool",Katharine R. Hind,753C97AB-59C7-484B-9A0A-E46C47190B1C
A91503,PTM757,Neopolyprolithon,reclinatum,"Mid/low intertidal, in tidepool",Katharine R. Hind,9819A99E-A329-934A-9161-F313F893B119
A91504,PTM758,Corallina,vancouveriensis,"Mid/low intertidal, in tidepool",Katharine R. Hind,D7242B3B-8865-EB46-901D-2B37B7FFDF97
A91505,PTM759,Neopolyprolithon,reclinatum,"Mid/low intertidal, in tidepool",Katharine R. Hind,99EB1BC5-2791-5447-BDDA-FBC0C3CE02F2
A91506,PTM760,Corallina,vancouveriensis,"Mid/low intertidal, in tidepool",Katharine R. Hind,52AE9218-3022-864B-B718-8915FCE3CADB
A91507,PTM761,Neopolyprolithon,reclinatum,"Mid/low intertidal, in tidepool",Katharine R. Hind,DDED5819-8DC7-774B-8210-4763A12A316B
A91508,PTM762,Bossiella,orbigniana,"Mid/low intertidal, in tidepool",Katharine R. Hind,A4F3A63D-2255-7F4B-8F74-8FB44AC80FB0
A91509,PTM763,Corallina,sp.,"Mid/low intertidal, in tidepool",Katharine R. Hind,379DCFF6-4D1D-DD4F-B8FF-5F10C963A8FD
A91510,PTM764,Neopolyprolithon,reclinatum,"Mid/low intertidal, in tidepool",Katharine R. Hind,C022B8AA-0BB1-DD48-9A6C-ACC2FD77EF58
A91511,PTM765,Bossiella,sp.,"Mid/low intertidal, in tidepool",Katharine R. Hind,F3DF2B2C-378F-8044-92B6-848C0C22ABAC
A91512,PTM766,Neopolyprolithon,reclinatum,"Mid/low intertidal, in tidepool",Katharine R. Hind,95045C55-EE63-7F46-BD8F-311DF0E12573
A91513,PTM767,Corallina,vancouveriensis,"Mid intertidal, in tidepool",Katharine R. Hind,7C4BECB2-BCDF-0545-80E4-ACDE665BA5E6
A91514,PTM770,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,79B75039-A058-F647-A547-3D6017B179BD
A91515,PTM771,Bossiella,dichotoma,"Mid intertidal, in tidepool",Katharine R. Hind,273793C4-1E02-214A-A23B-62E4C9111B2E
A91516,PTM773,Clathromorphum,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,728C9352-8FBF-8448-854C-A4F73F73E5F4
A91517,PTM774,Bossiella,californica,"Mid intertidal, in tidepool",Katharine R. Hind,51A12E40-0D1F-4443-9D4F-009997A0A707
A91518,PTM775,Calliarthron,tuberculosum,"Mid intertidal, in tidepool",Katharine R. Hind,3DD1549F-7994-CF40-8CF2-8C5F6E09C8B2
A91519,PTM776,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,C39C00CC-B3C6-074F-94F4-351388FF9569
A91520,PTM777,Spongites,tumidum,Mid/high intertidal,Katharine R. Hind,AB2BB036-27C7-E345-96D0-E4245F8C4A22
A91521,PTM778,Lithothamnion,phymatodeum,"High intertidal, in tidepool",Katharine R. Hind,9FC93340-E5BA-2B4D-A419-A20037150F3C
A91522,PTM779,Lithothamnion,phymatodeum,"Mid intertidal, in tidepool",Katharine R. Hind,CD7F2353-9D44-2B47-9E6E-252D3545E78A
A91523,PTM780,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,C6F52CA7-84A9-3D48-97D5-9F731B43F1E4
A91524,PTM781,Bossiella,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,67DFB2A4-6A22-554E-84B3-22FF96925970
A91525,PTM782,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,1F3A886C-5FD9-7042-AFCA-A01B468076B0
A91526,PTM783,Bossiella,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,B7EF22CC-1DA9-AD4F-8603-DC1EADFF2B3E
A91527,PTM784,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,7AC35D64-2CE5-4440-98BF-7714C16F50E2
A91528,PTM785,Bossiella,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,ADBDB1E8-3516-D847-B0C4-6AF645DBB7E6
A91529,PTM786,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,2404D859-2573-374A-8C91-9433BD866BA8
A91530,PTM787,Bossiella,californica,"Mid intertidal, in tidepool",Katharine R. Hind,730BBCC6-4C4C-1C49-AC2C-2E805F1BF4E7
A91531,PTM788,Corallina,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,574C7752-A0C4-9A4F-B22F-519B3770D8FE
A91532,PTM789,Corallina,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,8A0F8350-E7C3-6A4F-A1FE-B7F3F685ABBE
A91533,PTM790,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,E5A28490-E804-8B4F-BC2B-4BD2B0A931ED
A91534,PTM791,Neopolyprolithon,reclinatum,"Mid intertidal, in tidepool",Katharine R. Hind,074EF133-D44B-5649-9FF7-9541FA0323D6
A91535,PTM792,Bossiella,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,BEDC83EF-58F8-2143-B247-51F6886D1AC0
A91536,PTM793,Pseudolithophyllum,neofarlowii,"High intertidal, in tidepool, back side of tidepool",Katharine R. Hind,137E4BDB-CCDD-2E41-8B9C-6599D59802E5
A91537,PTM794,Coralline,NA,"High intertidal, in tidepool, with Calliarthron",Katharine R. Hind,6BFA112F-9DD3-9A45-9FFE-F0D9FD013D49
A91538,PTM795,Spongites,tumidum,Mid intertidal,Katharine R. Hind,7A2E711D-B193-2848-A369-6B8CB2C3A64D
A91539,PTM796,Bossiella,californica,"Mid intertidal, in tidepool",Katharine R. Hind,E33DCFD5-DAA5-9049-90F0-1914EEC35072
A91540,PTM797,Lithophyllum,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,78C4F1CB-6BE2-1A44-96A7-841F153102FB
A91541,PTM798,Lithophyllum,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,04FBF32B-BC37-2443-9397-4199B007B349
A91542,PTM799,Lithophyllum,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,BD7CA3AA-121B-E141-9337-49DD5A1E8AD0
A91543,PTM800,Hildenbrandia,sp.,Mid intertidal,Patrick T. Martone,459A512D-E454-AB45-AA93-B67BAC66F63A
A91544,PTM801,Petrospongium,rugosum, ,Patrick T. Martone,ABD68618-50DF-E64B-9416-8843771003C2
A91545,PTM802,Hildenbrandia,sp.,Mid intertidal,Patrick T. Martone,8C83A7A8-24FA-4949-81DE-71E34A20BC96
A91546,PTM803,Hildenbrandia,sp.,Mid intertidal,Patrick T. Martone,6D5C98CF-4EF3-C346-8716-701F9184D927
A91547,PTM804,Peyssonnelia,sp.,Low intertidal,Patrick T. Martone,6089D4CA-42A4-BA4B-8E73-18830252EF4D
A91548,PTM805,Hildenbrandia,sp.,Mid intertidal,Patrick T. Martone,63160582-8CCA-104B-B66B-CAC3A8F1FEEF
A91549,PTM806,Hildenbrandia,sp.,Mid intertidal,Patrick T. Martone,AFC432AA-76A5-934F-AEDC-4D147653E960
A91550,PTM807,Peyssonnelia,sp.,Low intertidal,Patrick T. Martone,8D609A20-47D7-774A-B4B5-7982F0A48190
A91551,PTM808,Hildenbrandia,sp.,Mid intertidal,Patrick T. Martone,4B3CC602-DC14-BF4C-B492-0D40D0A7D6FA
A91552,PTM809,Hildenbrandia,sp.,High intertidal,Patrick T. Martone,F9375270-34CF-6648-AE6B-E1DAF4AAF03B
A91553,PTM810,Hildenbrandia,sp.,"High intertidal, in tidepool",Patrick T. Martone,5C4AAC47-279F-6040-8575-F313FF7C6867
A91554,PTM811,Arthrocardia,sp.,Mid intertidal,Katharine R. Hind,307DF5E3-7BED-5748-8DFF-88D07CB45D88
A91555,PTM812,Arthrocardia,sp.,Mid intertidal,Katharine R. Hind,980567DB-22E6-9B47-8215-64408AF79ED9
A91556,PTM815,Arthrocardia,sp.,"Mid intertidal, with Lessonia",Katharine R. Hind,97ED5FCD-E087-0047-93E9-579DE63880D3
A91557,PTM816,Corallina,sp.,"Mid intertidal, in tidepool",Katharine R. Hind,5BD920BE-DDC4-814E-B838-0A8C33EA8685
A91558,PTM817,Lithothamnion,sp.,"Mid intertidal, in surge channel",Katharine R. Hind,B1A572B2-DD0C-D345-95E6-92AE136E9873
A91592,PTM818,Spongites,sp.,"Mid intertidal, in surge channel","Katharine R. Hind, Patrick T. Martone",297EF197-031A-5341-9A66-3CD371818484
A91593,PTM819,Corallina,caespitosa,"Mid intertidal, in surge channel","Katharine R. Hind, Patrick T. Martone",F494D3FC-00FF-6B41-9824-345A92A044F2
A91594,PTM820,Arthrocardia,sp.,"Low/mid intertidal, in surge channel","Katharine R. Hind, Patrick T. Martone",E09EFC07-6D8E-8440-9B90-5A223A9E011C
A91595,PTM821,Corallina,caespitosa,"Mid intertidal, in surge channel","Katharine R. Hind, Patrick T. Martone",6277DA04-A3DE-4F47-A9BE-B6BD10BBB4F2
A91596,PTM822,Corallina,sp.,"Mid intertidal, in tidepool","Katharine R. Hind, Patrick T. Martone",E4CF6CB8-4142-994E-B96C-A3D0DD53D3F1
A91597,PTM823,Arthrocardia,sp.,"Mid intertidal, with Lessonia kelp","Katharine R. Hind, Patrick T. Martone",8842C4E1-0EBB-4D4B-9FBA-739207A998A1
A91598,PTM824,Spongites,sp.,"Mid intertidal, exposed","Katharine R. Hind, Patrick T. Martone",F378F8D7-B77E-024D-80B6-F9F5ADB17484
A91599,PTM825,Bossiella,sp.,"Mid intertidal, in tidepool, wave-exposed","Katharine R. Hind, Patrick T. Martone",3AB2BFE3-4011-844B-8A4F-DE3432FB4584
A91600,PTM826,Corallina,caespitosa,"Mid intertidal, in tidepool, wave-exposed","Katharine R. Hind, Patrick T. Martone",E87DFC66-0E68-8343-9113-FCBF311594E1
A91601,PTM827,Corallina,caespitosa,"Mid intertidal, in tidepool, wave-exposed","Katharine R. Hind, Patrick T. Martone",CA6000A1-3339-774F-8230-D0744880E02A
A91602,PTM828,Spongites,sp.,"Mid intertidal, in surge channel","Katharine R. Hind, Patrick T. Martone",1796D0E9-6930-3F42-B2BE-0F328DDAEE19
A91603,PTM829,Arthrocardia,sp.,"Mid intertidal, in tidepool","Katharine R. Hind, Patrick T. Martone",F8EFB5DE-BFF8-C348-BA2C-2E6D461CA853
A91604,PTM830,Corallina,caespitosa,"Mid intertidal, in tidepool","Katharine R. Hind, Patrick T. Martone",A16384BB-77F0-EE4F-9BD6-1D60CB3EAF96
A91605,PTM831,Spongites,sp.,"Mid intertidal, wave-exposed","Katharine R. Hind, Patrick T. Martone",02D8D6AE-AE06-934E-8DA7-AE9E9AC2B367
A91606,PTM832,Corallina,caespitosa,"Mid intertidal, wave-exposed","Katharine R. Hind, Patrick T. Martone",4CB58C26-1C13-ED43-BF0E-71C422A1F6F8
A91607,PTM833,Corallina,caespitosa,"Mid intertidal, wave-exposed","Katharine R. Hind, Patrick T. Martone",7DD8AF9F-B189-7E4F-B61E-D8E772E5656C
A91608,PTM835,Spongites,sp.,Low/mid intertidal,"Katharine R. Hind, Patrick T. Martone",1DDA8788-469C-0E42-8525-52DE7DA46D1C
A91609,PTM836,Spongites,sp.,"Mid intertidal, in surge channel","Katharine R. Hind, Patrick T. Martone",B0F7C10B-4CC1-1D42-8DBC-4244492EFCDA
A91610,PTM840,Spongites,sp.,"High intertidal, in tidepool","Katharine R. Hind, Patrick T. Martone",922489E8-8064-3E46-8F9A-53EB3ADBFB0F
A91611,PTM841,Arthrocardia,sp.,"High intertidal, in surge channel, in tidepool","Katharine R. Hind, Patrick T. Martone",C85047ED-1781-9845-B571-A83DB561702B
A91612,PTM842,Corallina,sp.,"High intertidal, in tidepool, with Chaetomorpha","Katharine R. Hind, Patrick T. Martone",45E8FA14-13AD-D64B-A80D-2AC91A360D75
A91613,PTM843,Corallina,sp.,"High intertidal, in tidepool","Katharine R. Hind, Patrick T. Martone",8FC4FD41-4804-774B-B62D-988C68AF1B68
A91614,PTM844,Corallina,sp.,"High intertidal, in tidepool","Katharine R. Hind, Patrick T. Martone",25E76511-AC1A-A549-9FAD-C5F9A2B606DE
